val_loss,val_acc,epoch,step
0.1727309376001358,0.9506000280380249,0,214
0.09621210396289825,0.9718000292778015,1,429
0.07102514803409576,0.978600025177002,2,644
0.06005341187119484,0.9801999926567078,3,859
0.04887743294239044,0.9836000204086304,4,1074
0.04439067840576172,0.9855999946594238,5,1289
0.03899986669421196,0.9887999892234802,6,1504
0.03595709800720215,0.9896000027656555,7,1719
0.034559059888124466,0.9900000095367432,8,1934
0.031929295510053635,0.9905999898910522,9,2149
0.03120284713804722,0.9911999702453613,10,2364
0.030117040500044823,0.991599977016449,11,2579
0.028315048664808273,0.9922000169754028,12,2794
0.02580280415713787,0.9929999709129333,13,3009
0.02743484266102314,0.9919999837875366,14,3224
0.025299211964011192,0.9926000237464905,15,3439
0.02681310661137104,0.991599977016449,16,3654
0.024632690474390984,0.9919999837875366,17,3869
0.024571051821112633,0.9926000237464905,18,4084
0.022372908890247345,0.9927999973297119,19,4299
