val_loss,val_acc,epoch,step
0.43917104601860046,0.8812000155448914,0,214
0.31781288981437683,0.909600019454956,1,429
0.27075979113578796,0.9229999780654907,2,644
0.24137361347675323,0.9309999942779541,3,859
0.21949535608291626,0.9380000233650208,4,1074
0.20101182162761688,0.9430000185966492,5,1289
0.18694563210010529,0.9470000267028809,6,1504
0.1743430495262146,0.949400007724762,7,1719
0.16419635713100433,0.9526000022888184,8,1934
0.15556010603904724,0.9535999894142151,9,2149
0.14873163402080536,0.9580000042915344,10,2364
0.1431698054075241,0.9592000246047974,11,2579
0.13808897137641907,0.9602000117301941,12,2794
0.13360179960727692,0.9621999859809875,13,3009
0.12969525158405304,0.9613999724388123,14,3224
0.12608741223812103,0.9625999927520752,15,3439
0.12286680936813354,0.9624000191688538,16,3654
0.1205696314573288,0.9642000198364258,17,3869
0.119010791182518,0.9639999866485596,18,4084
0.11649111658334732,0.9656000137329102,19,4299
