val_loss,val_acc,epoch,step,test_loss,test_acc
0.1897461712360382,0.9422000050544739,0,214,,
0.11260785907506943,0.9666000008583069,1,429,,
0.08307293802499771,0.9771999716758728,2,644,,
0.06874338537454605,0.9775999784469604,3,859,,
0.058982569724321365,0.9819999933242798,4,1074,,
0.05298708379268646,0.9825999736785889,5,1289,,
0.050453294068574905,0.9843999743461609,6,1504,,
0.044648658484220505,0.9860000014305115,7,1719,,
0.04392893239855766,0.9868000149726868,8,1934,,
0.0423872172832489,0.9869999885559082,9,2149,,
0.04005393385887146,0.9879999756813049,10,2364,,
0.03811491280794144,0.9879999756813049,11,2579,,
0.035453181713819504,0.9886000156402588,12,2794,,
0.03534500673413277,0.9887999892234802,13,3009,,
0.03363029658794403,0.9886000156402588,14,3224,,
0.03149990364909172,0.989799976348877,15,3439,,
0.031492799520492554,0.9896000027656555,16,3654,,
0.032092947512865067,0.9894000291824341,17,3869,,
0.03192012757062912,0.9894000291824341,18,4084,,
0.028787441551685333,0.9900000095367432,19,4299,,
,,19,4300,0.018360301852226257,0.9941999912261963
