train_loss_step,epoch,step,validation_loss,train_loss_epoch
1.4082549810409546,0,34,,
,0,34,0.8230241537094116,
,0,34,,6.625072002410889
0.902045488357544,1,69,,
,1,69,0.7220995426177979,
,1,69,,0.9678589105606079
0.7734420299530029,2,104,,
,2,104,0.6759209036827087,
,2,104,,0.8128735423088074
0.8574190139770508,3,139,,
,3,139,0.6764782071113586,
,3,139,,0.734572172164917
0.7298948168754578,4,174,,
,4,174,0.673904299736023,
,4,174,,0.7126321196556091
0.7597755789756775,5,209,,
,5,209,0.6725077033042908,
,5,209,,0.7004299759864807
0.7166523933410645,6,244,,
,6,244,0.6726216077804565,
,6,244,,0.6876397132873535
0.6548988223075867,7,279,,
,7,279,0.6942552328109741,
,7,279,,0.6972375512123108
0.7369442582130432,8,314,,
,8,314,0.6707718372344971,
,8,314,,0.6799067258834839
0.6149533987045288,9,349,,
,9,349,0.6713060140609741,
,9,349,,0.6893740296363831
0.717088520526886,10,384,,
,10,384,0.6735336780548096,
,10,384,,0.6840787529945374
0.6411136984825134,11,419,,
,11,419,0.6709262132644653,
,11,419,,0.6792941093444824
0.656826913356781,12,454,,
,12,454,0.6720123291015625,
,12,454,,0.6669474840164185
0.6919786930084229,13,489,,
,13,489,0.6734896898269653,
,13,489,,0.6794655919075012
0.6528794169425964,14,524,,
,14,524,0.6762667894363403,
,14,524,,0.6659818887710571
0.6337318420410156,15,559,,
,15,559,0.6672489643096924,
,15,559,,0.6768811345100403
0.6500372290611267,16,594,,
,16,594,0.6716641783714294,
,16,594,,0.6717310547828674
0.61904376745224,17,629,,
,17,629,0.6644087433815002,
,17,629,,0.6715093851089478
0.6724256873130798,18,664,,
,18,664,0.6648394465446472,
,18,664,,0.6667545437812805
0.7104343771934509,19,699,,
,19,699,0.6693618893623352,
,19,699,,0.6776883006095886
0.7071499228477478,20,734,,
,20,734,0.6717585921287537,
,20,734,,0.6656275987625122
0.7193498611450195,21,769,,
,21,769,0.6712003946304321,
,21,769,,0.6703504920005798
0.6359983086585999,22,804,,
,22,804,0.6675834655761719,
,22,804,,0.6626359820365906
0.6485106945037842,23,839,,
,23,839,0.669324517250061,
,23,839,,0.6621040105819702
0.6398622989654541,24,874,,
,24,874,0.6760095357894897,
,24,874,,0.6660714149475098
0.6301754117012024,25,909,,
,25,909,0.6715165972709656,
,25,909,,0.6644726395606995
0.6318119168281555,26,944,,
,26,944,0.6653967499732971,
,26,944,,0.6616865992546082
0.6968880295753479,27,979,,
,27,979,0.665071964263916,
,27,979,,0.6643831729888916
0.734046995639801,28,1014,,
,28,1014,0.6673194766044617,
,28,1014,,0.6601884961128235
0.5917848348617554,29,1049,,
,29,1049,0.6708616614341736,
,29,1049,,0.6628127694129944
0.6317988634109497,30,1084,,
,30,1084,0.6646361947059631,
,30,1084,,0.6597661972045898
0.6081312894821167,31,1119,,
,31,1119,0.6664987802505493,
,31,1119,,0.659159243106842
0.6717621088027954,32,1154,,
,32,1154,0.6661772131919861,
,32,1154,,0.6567152738571167
0.7338365316390991,33,1189,,
,33,1189,0.6814010143280029,
,33,1189,,0.662257194519043
0.7402412295341492,34,1224,,
,34,1224,0.6679725646972656,
,34,1224,,0.6583190560340881
0.6221845149993896,35,1259,,
,35,1259,0.6655491590499878,
,35,1259,,0.658176839351654
0.7083572149276733,36,1294,,
,36,1294,0.6705187559127808,
