val_loss,val_acc,epoch,step,test_loss,test_acc
0.1769326776266098,0.9480000138282776,0,214,,
0.09563508629798889,0.9697999954223633,1,429,,
0.06968171894550323,0.9764000177383423,2,644,,
0.05791950598359108,0.9818000197410583,3,859,,
0.05074968934059143,0.9829999804496765,4,1074,,
0.04657953977584839,0.9854000210762024,5,1289,,
0.04307255521416664,0.9864000082015991,6,1504,,
0.04193830490112305,0.9864000082015991,7,1719,,
0.03869982436299324,0.9876000285148621,8,1934,,
0.038595058023929596,0.9882000088691711,9,2149,,
0.036128707230091095,0.9890000224113464,10,2364,,
0.03506128862500191,0.9891999959945679,11,2579,,
0.03253626823425293,0.989799976348877,12,2794,,
0.034125059843063354,0.989799976348877,13,3009,,
0.03169650584459305,0.9901999831199646,14,3224,,
0.030866412445902824,0.9909999966621399,15,3439,,
0.030217144638299942,0.9905999898910522,16,3654,,
0.031177356839179993,0.9905999898910522,17,3869,,
0.029643738642334938,0.9905999898910522,18,4084,,
0.029431387782096863,0.9901999831199646,19,4299,,
,,19,4300,0.017273182049393654,0.9944999814033508
,,19,4300,0.017273182049393654,0.9944999814033508
,,19,4300,0.017273182049393654,0.9944999814033508
,,19,4300,0.018926164135336876,0.9940999746322632
,,19,4300,0.017273182049393654,0.9944999814033508
