val_loss,val_acc,epoch,step,test_loss,test_acc
0.17775040864944458,0.9462000131607056,0,214,,
0.09639697521924973,0.9715999960899353,1,429,,
0.07046021521091461,0.9793999791145325,2,644,,
0.05344375595450401,0.9832000136375427,3,859,,
0.04745577648282051,0.9847999811172485,4,1074,,
0.04021695628762245,0.9865999817848206,5,1289,,
0.03707575425505638,0.9883999824523926,6,1504,,
0.034289270639419556,0.9890000224113464,7,1719,,
0.031199850142002106,0.9908000230789185,8,1934,,
0.030802782624959946,0.9896000027656555,9,2149,,
0.028319666162133217,0.9923999905586243,10,2364,,
0.02595909684896469,0.9927999973297119,11,2579,,
0.026114055886864662,0.9923999905586243,12,2794,,
0.02590259350836277,0.9922000169754028,13,3009,,
0.02641032449901104,0.9922000169754028,14,3224,,
0.02400420419871807,0.9932000041007996,15,3439,,
0.02289646491408348,0.993399977684021,16,3654,,
0.024021293967962265,0.9926000237464905,17,3869,,
0.023185105994343758,0.9926000237464905,18,4084,,
0.022941719740629196,0.9936000108718872,19,4299,,
,,19,4300,0.01795152761042118,0.9941999912261963
