val_loss,val_acc,epoch,step
0.19830600917339325,0.9399999976158142,0,214
0.11010157316923141,0.9682000279426575,1,429
0.08142589777708054,0.975600004196167,2,644
0.06527357548475266,0.9801999926567078,3,859
0.05687984451651573,0.9829999804496765,4,1074
0.051490556448698044,0.984000027179718,5,1289
0.04804465174674988,0.9860000014305115,6,1504
0.043736644089221954,0.9860000014305115,7,1719
0.042176686227321625,0.9865999817848206,8,1934
0.041190098971128464,0.9879999756813049,9,2149
0.03911008685827255,0.9882000088691711,10,2364
0.03732641786336899,0.9887999892234802,11,2579
0.03788967803120613,0.9878000020980835,12,2794
0.03658755123615265,0.9882000088691711,13,3009
0.035078246146440506,0.9890000224113464,14,3224
0.03436260670423508,0.9886000156402588,15,3439
0.03365302085876465,0.989799976348877,16,3654
0.03337446600198746,0.9886000156402588,17,3869
0.03371945023536682,0.9887999892234802,18,4084
0.03125215694308281,0.9901999831199646,19,4299
