zpid,price,latitude,longitude,beds,baths,area
29786296,385000.0,40.856955,-73.907332,3.0,3.0,1875.0
29786441,570000.0,40.859205,-73.908518,5.0,2.0,1843.0
29786445,465000.0,40.858924,-73.908774,4.0,3.0,1147.0
29786537,260000.0,40.855187,-73.913395,4.0,2.0,2288.0
29786635,525000.0,40.854752,-73.914973,5.0,3.0,1998.0
29786792,570000.0,40.86971,-73.899613,3.0,3.0,2480.0
29786905,459000.0,40.872341,-73.898715,4.0,3.0,3100.0
29786992,438000.0,40.8743,-73.902347,4.0,3.0,1490.0
29787038,618000.0,40.878081,-73.899039,3.0,3.0,2400.0
29787072,765000.0,40.879323,-73.897971,5.0,2.0,2706.0
29787345,450000.0,40.877654,-73.901993,3.0,2.0,1000.0
29787412,747000.0,40.883276,-73.897126,3.0,3.0,2107.0
29787460,760000.0,40.883312,-73.895228,3.0,3.0,2094.0
29787465,535000.0,40.8836,-73.89466,4.0,3.0,2265.0
29787536,550000.0,40.884873,-73.897338,3.0,2.0,1872.0
29787716,559000.0,40.867037,-73.886243,4.0,2.0,2754.0
29787718,375000.0,40.866892,-73.886364,5.0,3.0,1726.0
29787807,250000.0,40.867022,-73.887574,6.0,2.0,2840.0
29788027,440000.0,40.869123,-73.890034,5.0,2.0,1875.0
29788060,439000.0,40.870067,-73.887906,5.0,3.0,1800.0
29788184,575000.0,40.87394,-73.887768,6.0,3.0,1566.0
29788597,475000.0,40.876686,-73.876279,4.0,1.5,1260.0
29788668,380000.0,40.881786,-73.877536,2.0,2.0,1452.0
29788975,508500.0,40.896324,-73.875094,3.0,2.0,1640.0
29789050,545000.0,40.897411,-73.873416,6.0,2.0,2000.0
29789115,729000.0,40.896958,-73.870812,4.0,3.0,1800.0
29789151,515000.0,40.897328,-73.87157,3.0,3.0,1476.0
29789156,679000.0,40.897279,-73.872018,3.0,2.0,1350.0
29789242,535000.0,40.896507,-73.867288,4.0,3.0,2120.0
29789295,475000.0,40.897201,-73.86871,3.0,2.0,1589.0
29789342,520000.0,40.89756,-73.869425,3.0,2.0,2646.0
